"","Yr","DOY","Psy_num","lwp.m","lwp.sd","lwp.n","Temp.m","Temp.sd","ind","tag","treatment","doy.yr","DOY.yr"
"144",2018,202,"PSY4",-1.21491937483007,0.0199516873879909,7,20.1428571428571,0.0249761791275109,4,498,"control","202-18",2018-07-21
"145",2018,202,"PSY5",-0.751766085016815,0.0346616745255592,7,20.1428571428571,0.0249761791275109,5,10999,"mwd","202-18",2018-07-21
"146",2018,202,"PSY6",-0.959266534645209,0.0124631581290718,7,20.1428571428571,0.0249761791275109,6,588,"swd","202-18",2018-07-21
"147",2018,202,"PSY7",-0.90448498320167,0.0478235366885611,7,20.1428571428571,0.0249761791275109,7,591,"swd","202-18",2018-07-21
"148",2018,202,"PSY8",-0.394150013135156,0.0135158597283718,7,20.1428571428571,0.0249761791275109,8,10954,"control","202-18",2018-07-21
"149",2018,202,"PSY9",-0.374623521450286,0.0186167120235691,7,20.1428571428571,0.0249761791275109,9,600,"mwd","202-18",2018-07-21
"150",2018,203,"PSY1",-0.306529277880846,0.0140946842928652,7,20.1971428571429,0.0460848079502293,1,590,"swd","203-18",2018-07-22
"151",2018,203,"PSY2",-0.529574440150205,0.0215012892870235,7,20.1971428571429,0.0460848079502293,2,592,"mwd","203-18",2018-07-22
"152",2018,203,"PSY3",-0.316404293556961,0.0152106432565069,7,20.1971428571429,0.0460848079502293,3,589,"control","203-18",2018-07-22
"153",2018,203,"PSY4",-1.66023749398982,0.0108391892275646,7,20.1971428571429,0.0460848079502293,4,498,"control","203-18",2018-07-22
"154",2018,203,"PSY5",-1.9904039328172,0.104847503644246,7,20.1971428571429,0.0460848079502293,5,10999,"mwd","203-18",2018-07-22
"155",2018,203,"PSY6",-1.08146150030913,0.0146316460481874,7,20.1971428571429,0.0460848079502293,6,588,"swd","203-18",2018-07-22
"156",2018,203,"PSY7",-4.29028564773113,0.0136701963906413,7,20.1971428571429,0.0460848079502293,7,591,"swd","203-18",2018-07-22
